degree,Fp,W,Fp_x,Fp_y,Mot_x,Mot_y,Mw_x,Mw_y,Mtotal_x,Mtotal_y,ecc_x,ecc_y,torsion,Tmax,Cmax,Vmax,T_anchor,C_anchor,V_anchor,equip_xo,equip_yo,anchor_xo,anchor_yo,Ix,Iy,Iz,Ixy
0.0,19425.000000000004,-1855.0,-0.0,19425.000000000004,-1243200.0000000002,-0.0,-7779.4042693186675,-36008.04068835883,-1250979.4042693188,-36008.04068835883,-19.411342689142227,-4.19374893224726,-377065.33173658786,3125.7323831932836,-2573.0468601799075,1902.7611271457724,0,9,2,-0.49506905431922377,93.94016663084783,18.916273634823003,89.74641769860057,31529.740933077177,15648.830495494249,47178.57142857143,-6.821210263296962e-13
1.0,19425.000000000004,-1855.0,-339.0129950442323,19422.041478412903,-1243010.6546184258,-21696.831682830867,-7779.4042693186675,-36008.04068835883,-1250790.0588877443,-57704.8723711897,-19.411342689142227,-4.19374893224726,-375586.16747422266,3132.398756248898,-2553.7537894617494,1899.0267829875672,10,13,2,-2.134475621732024,93.91721894211004,17.3471016367592,90.06288338024234,31524.903822301814,15653.667606269611,47178.57142857143,-277.1178907245704
2.0,19425.000000000004,-1855.0,-677.9227234460815,19413.16681484594,-1242442.6761501401,-43387.054300549215,-7779.4042693186675,-36008.04068835883,-1250222.0804194587,-79395.09498890804,-19.411342689142227,-4.19374893224726,-373992.59602686006,3145.2284291371557,-2540.866351542594,1895.0317316911357,10,13,2,-3.773232007193316,93.86566315868595,15.772645543491693,90.35191503514774,31510.398383250085,15668.173045321339,47178.57142857142,-553.8981559860317
3.0,19425.000000000004,-1855.0,-1016.6259500191841,19398.3787126076,-1241496.2376068863,-65064.06080122778,-7779.4042693186675,-36008.04068835883,-1249275.6418762049,-101072.10148958661,-19.411342689142227,-4.19374893224726,-372285.1028117999,3157.073016393252,-2527.243994638717,1890.779204148875,10,13,2,-5.410839029633097,93.78551498496662,14.193384949598588,90.61342462147479,31486.2422885651,15692.329140006324,47178.57142857142,-830.0035816658914
4.0,19425.000000000004,-1855.0,-1355.0195024796342,19377.68167629709,-1240171.6272830137,-86721.24815869659,-7779.4042693186675,-36008.04068835883,-1247951.0315523322,-122729.28884705542,-19.411342689142227,-4.19374893224726,-370464.2079480166,3167.928910041169,-2512.890868251995,1886.2726582219204,10,13,2,-7.046797858088478,93.6767988348622,12.60980091315543,90.84733248087018,31452.464968727258,15726.106459844164,47178.57142857142,-1105.097775833744
5.0,19425.000000000004,-1855.0,-1693.0003028732601,19351.08201043216,-1238469.2486676583,-108352.01938388865,-7779.4042693186675,-36008.04068835883,-1246248.6529369769,-144360.06007224746,-19.411342689142227,-4.19374893224726,-368530.466097725,3177.792803270536,-2497.8113444837672,1881.5157796526057,10,13,2,-8.68061016365242,93.53954782436516,11.022375809200241,91.05356736273403,31409.107576197806,15769.463852373627,47178.571428571435,-1378.845578589006
6.0,19425.000000000004,-1855.0,-2030.4653989741687,19318.58781752871,-1236389.6203218375,-129949.7855343468,-7779.4042693186675,-36008.04068835883,-1244169.024591156,-165957.82622270563,-19.411342689142227,-4.19374893224726,-366484.46629742516,3186.661691443922,-2482.010016703051,1876.512483019468,10,13,2,-10.311778271269555,93.37380376146284,9.431593182797418,91.23206644592346,31356.22293528081,15822.348493290612,47178.57142857142,-1650.9134704016376
7.0,19425.000000000004,-1855.0,-2367.31199564499,19280.20899563268,-1233933.3757204916,-151507.96772127936,-7779.4042693186675,-36008.04068835883,-1241712.7799898102,-187516.0084096382,-19.411342689142227,-4.19374893224726,-364326.8317784763,3194.532873012076,-2465.491698147359,1871.266912730699,10,13,2,-11.939805311332822,93.17961713340245,7.837937601745217,91.3827753578886,31293.875477765007,15884.69595080642,47178.57142857143,-1920.969978454308
8.0,19425.000000000004,-1855.0,-2703.4374861492715,19235.957235305006,-1231101.2630595204,-173019.99911355338,-7779.4042693186675,-36008.04068835883,-1238880.667328839,-209028.0398019122,-19.411342689142227,-4.19374893224726,-362058.2197772547,3201.403950336842,-2448.261420456541,1865.7834440513466,10,13,2,-13.564195371034769,92.95704709131202,6.241894508971722,91.50564819123493,31222.141164423487,15956.430264147953,47178.57142857144,-2188.686080490972
9.0,19425.000000000004,-1855.0,-3038.7394834064853,19185.846016060554,-1227894.1450278754,-194479.32693801506,-7779.4042693186675,-36008.04068835883,-1235673.549297194,-230487.3676263739,-19.411342689142227,-4.19374893224726,-359679.32133495196,3207.272830421504,-2430.324432140095,1860.0666841588973,10,13,2,-15.184453645427386,92.70616143218243,4.6439500746642,91.60064751770705,31141.1073924672,16037.46403610423,47178.57142857143,-2453.7356056798067
10.0,19425.000000000004,-1855.0,-3373.1158511801223,19129.890602262145,-1224312.9985447773,-215879.41447552782,-7779.4042693186675,-36008.04068835883,-1232092.4028140958,-251887.45516388665,-19.411342689142227,-4.19374893224726,-357190.8610870789,3212.1377255483367,-2411.686196978421,1854.1214732211686,10,13,2,-16.800086588144495,92.42703657821582,3.0445910481769847,91.66774439958989,31050.87288906501,16127.698539506417,47178.57142857143,-2715.795632002113
11.0,19425.000000000004,-1855.0,-3706.4647351893836,19068.108038470877,-1220358.914462136,-237213.74305212055,-7779.4042693186675,-36008.04068835883,-1228138.3187314547,-273221.7837404794,-19.411342689142227,-4.19374893224726,-354593.5970427332,3215.9971538231566,-2392.3523923585017,1847.9528854895718,10,13,2,-18.410602061740768,92.11975755354672,1.4443046097628738,91.70691839852324,30951.547591059752,16227.023837511677,47178.57142857143,-2974.546879683073
12.0,19425.000000000004,-1855.0,-4038.6845941349757,19000.51714425418,-1216033.0972322675,-258475.81402463844,-7779.4042693186675,-36008.04068835883,-1223812.501501586,-294483.8547129973,-19.411342689142227,-4.19374893224726,-351888.32035370293,3218.849939626723,-2388.6900259444683,1841.5662303999507,10,11,2,-20.015509487601527,91.78441795834264,-0.15642177782665811,91.71815758172755,30843.25251102714,16335.318917544282,47178.57142857142,-3229.6741001849605
